model,cnn
algo,adam
rho,0.01
epochs,1
batch_size,256
channels,[0]
latent_dim,3
hidden_dims,"[10, 10, 10]"
ker_str_pad,"[(8, 1, 0), (5, 1, 0), (3, 2, 0)]"
error_trace,"[0.3184973895549774, 0.2860753834247589, 0.26184502243995667, 0.25592902302742004, 0.24369072914123535, 0.23779307305812836, 0.23311085999011993, 0.23561996221542358, 0.2324790209531784, 0.2277929037809372, 0.22589479386806488, 0.22114843130111694, 0.22178305685520172, 0.22253268957138062, 0.22293059527873993, 0.21766918897628784, 0.21291114389896393, 0.22100991010665894, 0.21488772332668304, 0.21228434145450592, 0.20684224367141724, 0.20503243803977966, 0.20250357687473297, 0.20543281733989716, 0.19962723553180695, 0.19959823787212372, 0.19667014479637146, 0.2023169845342636, 0.19129882752895355, 0.19906853139400482, 0.19288085401058197, 0.19216454029083252, 0.19208195805549622, 0.19125990569591522, 0.19199371337890625, 0.19014394283294678, 0.18470759689807892, 0.18883870542049408, 0.18672552704811096, 0.18410108983516693, 0.1871967613697052, 0.18176224827766418, 0.1832221895456314, 0.18443197011947632, 0.1865689605474472, 0.18176905810832977, 0.18673492968082428, 0.18345946073532104, 0.1852661818265915, 0.184061661362648, 0.18492963910102844, 0.18297015130519867, 0.18087658286094666, 0.18037782609462738, 0.1781844198703766, 0.18144696950912476, 0.17920802533626556, 0.18016090989112854, 0.17872492969036102, 0.17897020280361176, 0.17751412093639374, 0.17913809418678284, 0.1768776923418045, 0.17738588154315948, 0.1763727366924286, 0.1751173734664917, 0.17429953813552856, 0.17726682126522064, 0.1781078279018402, 0.1767164170742035, 0.1778843253850937, 0.1764594465494156, 0.17828872799873352, 0.17561331391334534, 0.17573215067386627, 0.1781943440437317, 0.17647559940814972, 0.17760248482227325, 0.1780259758234024, 0.1813114732503891, 0.17494814097881317, 0.17496225237846375, 0.17283211648464203, 0.17721764743328094, 0.17615941166877747, 0.17471911013126373, 0.17512087523937225, 0.1760425567626953, 0.17651495337486267, 0.17388758063316345, 0.17247480154037476, 0.17429038882255554, 0.17442914843559265, 0.17576460540294647, 0.1725407987833023, 0.1751864105463028, 0.17491449415683746, 0.1741494983434677, 0.17376980185508728, 0.17464418709278107, 0.17170439660549164, 0.1777433305978775, 0.17645801603794098, 0.17590560019016266, 0.18036378920078278, 0.1756984144449234, 0.17414066195487976, 0.1725325882434845, 0.17452965676784515, 0.17413398623466492, 0.1695929914712906, 0.1745249629020691, 0.1712508350610733, 0.16995497047901154, 0.17303724586963654, 0.17482872307300568, 0.17376340925693512, 0.17108303308486938, 0.17528678476810455, 0.1733025312423706, 0.1724100559949875, 0.17450307309627533, 0.17591841518878937, 0.1726112961769104, 0.17687441408634186, 0.17003929615020752, 0.17493358254432678, 0.17296697199344635, 0.17261196672916412, 0.17089949548244476, 0.17605945467948914, 0.1754928082227707, 0.17594295740127563, 0.1723957359790802, 0.1725316047668457, 0.17259463667869568, 0.1718112975358963, 0.17364884912967682, 0.17154601216316223, 0.18081557750701904, 0.17327579855918884, 0.17436163127422333, 0.1760091632604599, 0.18628986179828644]"
duration,352.61860847473145
